id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
vivi-drop-200-ml-shrink-12-pcs_380,"ڤي ڤي - قطرة 200مل","ڤي ڤي قطرة 200 مل - شرنك 12 عبوة",https://vivi-water.com/wp-content/uploads/2021/05/Vivi-Drop-Filmtray-12-200-ml.jpg,https://vivi-water.com/product/vivi-drop-200-ml-shrink-12-pcs/,"شرنك","Vivi Water",6.61SAR,in stock,vivi-drop-200-ml-shrink-12-pcs_380,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6.61SAR,new,staging,,,,,,,
vivi-drop-200-ml-shrink-12-pcs_379,"ViVi Drop - 200ml","ViVi Drop 200ml - Shrink 12 Pcs",https://vivi-water.com/wp-content/uploads/2021/05/Vivi-Drop-Filmtray-12-200-ml.jpg,https://vivi-water.com/product/vivi-drop-200-ml-shrink-12-pcs/,"شرنك","Vivi Water",6.61SAR,in stock,vivi-drop-200-ml-shrink-12-pcs_379,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6.61SAR,new,staging,,,,,,,
vivi-drop-200-ml-carton-32-pcs_373,"ڤي ڤي - قطرة 200مل","ڤي ڤي قطرة 200 مل - كرتون 32 عبوة",https://vivi-water.com/wp-content/uploads/2021/02/Vivi-Drop-Carton-32-200-ml.png,https://vivi-water.com/product/vivi-drop-200-ml-carton-32-pcs/,"كرتون","Vivi Water",16.1SAR,in stock,vivi-drop-200-ml-carton-32-pcs_373,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16.1SAR,new,staging,,,,,,,
vivi-drop-200-ml-carton-32-pcs_372,"ViVi Drop - 200ml","ViVi Drop 200ml - Carton 32 Pcs",https://vivi-water.com/wp-content/uploads/2021/02/Vivi-Drop-Carton-32-200-ml.png,https://vivi-water.com/product/vivi-drop-200-ml-carton-32-pcs/,"كرتون","Vivi Water",16.1SAR,in stock,vivi-drop-200-ml-carton-32-pcs_372,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16.1SAR,new,staging,,,,,,,
vivi-200-ml-carton-48-pcs_912,"ڤي ڤي - 200مل","ڤي ڤي 200 مل - كرتون 48 عبوة",https://vivi-water.com/wp-content/uploads/2021/03/Vivi-Carton-48-200-ml-EN.png,https://vivi-water.com/product/vivi-200-ml-carton-48-pcs/,"كرتون","Vivi Water",21.28SAR,in stock,vivi-200-ml-carton-48-pcs_912,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,21.28SAR,new,staging,,,,,,,
vivi-200-ml-carton-48-pcs_911,"ViVi - 200ml","ViVi 200ml - Carton 48 Pcs",https://vivi-water.com/wp-content/uploads/2021/03/Vivi-Carton-48-200-ml-EN.png,https://vivi-water.com/product/vivi-200-ml-carton-48-pcs/,"كرتون","Vivi Water",21.28SAR,in stock,vivi-200-ml-carton-48-pcs_911,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,21.28SAR,new,staging,,,,,,,
vivi-330-ml-shrink-12-pcs_399,"ڤي ڤي - 330مل","ڤي ڤي 330 مل - شرنك 12 عبوة",https://vivi-water.com/wp-content/uploads/2021/07/Vivi-Shrink-12-330-ml.png,https://vivi-water.com/product/vivi-330-ml-shrink-12-pcs/,"شرنك","Vivi Water",7.48SAR,in stock,vivi-330-ml-shrink-12-pcs_399,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7.48SAR,new,staging,,,,,,,
vivi-330-ml-shrink-12-pcs_398,"ViVi - 330ml","ViVi 330ml - Shrink 12 Pcs",https://vivi-water.com/wp-content/uploads/2021/07/Vivi-Shrink-12-330-ml.png,https://vivi-water.com/product/vivi-330-ml-shrink-12-pcs/,"شرنك","Vivi Water",7.48SAR,in stock,vivi-330-ml-shrink-12-pcs_398,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7.48SAR,new,staging,,,,,,,
vivi-330-ml-carton-40-pcs_392,"ڤي ڤي - 330مل","ڤي ڤي 330 مل - كرتون 40 عبوة",https://vivi-water.com/wp-content/uploads/2021/05/Vivi-Carton-40-330-ml-AR.png,https://vivi-water.com/product/vivi-330-ml-carton-40-pcs/,"كرتون","Vivi Water",21.28SAR,in stock,vivi-330-ml-carton-40-pcs_392,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,21.28SAR,new,staging,,,,,,,
vivi-330-ml-carton-40-pcs_391,"ViVi - 330ml","ViVi 330ml - Carton 40 Pcs",https://vivi-water.com/wp-content/uploads/2021/05/Vivi-Carton-40-330-ml-AR.png,https://vivi-water.com/product/vivi-330-ml-carton-40-pcs/,"كرتون","Vivi Water",21.28SAR,in stock,vivi-330-ml-carton-40-pcs_391,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,21.28SAR,new,staging,,,,,,,
